id,construidos_m,utiles_m,habitaciones,ba�os,terraza,balcon,estado,orientacion,garaje,a�o_construido,calefaccion,planta,ascensor,aire_acondicionado,zonas_verdes_o_jardin,ciudad,zona,etiqueta_energetica,precio,precio_anterior,titulo_anuncio
46,108,87,3,2,NO,NO,Buen estado,NA,NO,1970,NO,4,SI,NO,NO,Igualada,Centre,d,118500,118500,Piso en venta en rambla de Sant Isidre
47,120,113,2,1,NO,NO,Buen estado,NA,NO,2005,NO,2,SI,NO,NO,Igualada,Pla de Sant Magi,d,181000,181000,"Piso en venta en calle de Trobadiners, 2"
48,297,297,3,3,SI,NO,Buen estado,NA,SI,2001,SI,-1,NO,SI,NO,Igualada,Igualada,NO,525000,525000,Casa o chalet independiente en venta en Sesoliveres la Massa
49,91,73,2,1,SI,NO,Buen estado,NA,NO,1960,NO,4,NO,NO,NO,Igualada,Pla de Sant Magi,g,101500,106000,Piso en venta en Sant Josep
50,85,72,3,2,NO,NO,Buen estado,sur,NO,1976,SI,2,SI,NO,NO,Igualada,Llevant,e,135000,135000,Piso en venta en calle de Sant Carles
51,75,71,3,1,NO,SI,Por reformar,NA,NO,1975,SI,6,SI,NO,NO,Igualada,Centre,g,132500,132500,Piso en venta en calle de Sant Antoni de Baix
52,116,98,3,2,SI,SI,Buen estado,NA,NO,2007,NO,3,SI,SI,NO,Igualada,Llevant,d,190000,190000,"Dúplex en venta en Bisbe Robuster Barcelona, 3"
53,272,272,4,2,SI,NO,Buen estado,NA,SI,1965,SI,-1,NO,SI,NO,Igualada,Igualada,NO,352000,352000,Chalet adosado en venta en Pla de Sant Magi
54,127,68,3,1,SI,NO,Buen estado,sur,NO,1974,SI,4,NO,NO,NO,Igualada,Ponent,e,99000,114000,Ático en venta en PARE SALVADOR FONT
55,117,101,5,2,SI,NO,Buen estado,sur,NO,1975,SI,4,NO,NO,NO,Igualada,Llevant,f,140000,140000,Piso en venta en calle de Pau Muntadas
56,119,109,4,2,NO,SI,Buen estado,NA,NO,2006,SI,3,SI,SI,NO,Igualada,Igualada,e,150000,150000,Piso en venta en Llevant
57,74,70,3,1,NO,SI,Buen estado,NA,NO,1982,SI,3,NO,NO,NO,Igualada,Pla de Sant Magi,e,135500,141500,Piso en venta en Odena
58,450,450,5,3,SI,NO,Buen estado,NA,SI,2007,SI,-1,NO,NO,Jardín,Igualada,Sesoliveres la Massa,c,599000,599000,Casa o chalet independiente en venta en alt camp
59,83,60,2,2,NO,NO,Buen estado,NA,SI,2007,SI,1,SI,NO,NO,Igualada,Llevant,e,115100,115100,Piso en venta en calle de Gaspar Camps
60,86,75,2,1,SI,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,g,101500,106000,Piso en venta en Pla de Sant Magi
61,87,87,4,1,NO,NO,Buen estado,NA,SI,1979,NO,2,SI,NO,NO,Igualada,Centre,NO,149000,149000,"Piso en venta en calle de les Delícies, 25"
62,115,95,3,2,NO,SI,Buen estado,sur,SI,-2022,SI,3,SI,SI,NO,Igualada,Centre,NO,226000,226000,"Piso en venta en calle de la Torre, 2"
63,74,74,3,1,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,NO,135500,141500,Piso en venta en Pla de Sant Magi
64,127,122,4,1,NO,SI,Buen estado,NA,NO,-2022,SI,2,NO,SI,NO,Igualada,Pla de Sant Magi,NO,155000,165000,Piso en venta en calle del Rei Ferran d'Antequera
65,111,89,4,2,SI,SI,Buen estado,"norte,",NO,1977,SI,2,SI,NO,NO,Igualada,Igualada,d,149000,149000,Piso en venta en Pla de Sant Magi
66,170,149,3,2,SI,NO,Buen estado,"este,",SI,2004,NO,4,SI,SI,NO,Igualada,Igualada,e,395000,395000,Piso en venta en Pla de Sant Magi
67,297,73,2,3,NO,NO,Buen estado,sur,NO,1956,NO,-1,NO,NO,NO,Igualada,Igualada,NO,225000,225000,Casa o chalet independiente en venta en Llevant
68,252,212,6,3,NO,NO,Por reformar,NA,NO,1975,NO,-1,NO,NO,NO,Igualada,Igualada,f,430000,465000,Casa o chalet independiente en venta en Ponent
69,104,93,3,2,NO,NO,Buen estado,norte,NO,-2022,NO,2,NO,NO,NO,Igualada,Centre,NO,151000,151000,Piso en venta en calle de la Caritat
70,88,74,2,1,NO,SI,Buen estado,NA,SI,2008,SI,1,SI,SI,NO,Igualada,Ponent,b,177000,177000,Piso en venta en calle de Sor Rita Mercader
71,70,61,2,2,NO,NO,Buen estado,"sur,",NO,2007,SI,1,SI,NO,NO,Igualada,Igualada,e,115100,115100,Piso en venta en Llevant
72,55,43,-1,1,NO,SI,Buen estado,NA,NO,2012,NO,1,SI,NO,NO,Igualada,Igualada,e,62000,62000,Piso en venta en Llevant
73,55,43,-1,1,NO,SI,Buen estado,NA,NO,2012,NO,2,SI,NO,NO,Igualada,Igualada,e,70000,70000,Piso en venta en Llevant
74,98,77,3,2,NO,SI,Buen estado,NA,NO,2012,NO,1,SI,NO,NO,Igualada,Igualada,e,118000,118000,Piso en venta en Llevant
75,98,77,3,2,NO,SI,Buen estado,NA,NO,2012,NO,2,SI,NO,NO,Igualada,Igualada,e,126000,126000,Piso en venta en Llevant
76,79,74,3,1,NO,NO,Buen estado,NA,NO,1982,NO,3,SI,NO,NO,Igualada,Pla de Sant Magi,e,135500,141500,"Piso en venta en calle d'Òdena, 122"
77,75,71,3,1,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,NO,132500,132500,Piso en venta en Centre
78,112,101,4,2,SI,NO,Buen estado,"este,",NO,1978,SI,4,NO,NO,NO,Igualada,Igualada,g,162000,162000,Ático en venta en Pla de Sant Magi
79,76,68,3,1,SI,NO,Buen estado,"este,",NO,1971,SI,2,NO,NO,NO,Igualada,Igualada,f,130000,130000,Piso en venta en Ponent
80,92,74,2,1,SI,NO,Buen estado,NA,NO,1967,SI,4,SI,NO,NO,Igualada,Igualada,e,119000,119000,Piso en venta en Ponent
81,119,100,3,2,SI,NO,Buen estado,sur,SI,2001,SI,3,SI,SI,NO,Igualada,Igualada,f,239000,239000,Piso en venta en Centre
82,98,59,3,2,SI,NO,Buen estado,sur,SI,2006,SI,3,SI,SI,NO,Igualada,Ponent,NO,179000,179000,Dúplex en venta en calle de Milà i Fontanals
83,46,46,-1,1,NO,NO,Por reformar,NA,NO,-2022,NO,1,NO,NO,NO,Igualada,Centre,NO,200000,200000,Piso en venta en calle de J. Martí i Franquesa
84,90,90,3,1,SI,NO,Buen estado,NA,NO,-2022,NO,3,NO,NO,NO,Igualada,Llevant,e,115000,115000,Piso en venta en calle de Celdoni Guixà
85,109,83,4,2,SI,SI,Buen estado,NA,NO,2006,NO,4,SI,NO,NO,Igualada,Llevant,e,162000,162000,Dúplex en venta en calle de Salvador Murt
86,160,140,3,1,SI,SI,Por reformar,oeste,NO,1968,SI,-1,NO,NO,NO,Igualada,Ponent,e,139000,139000,Chalet pareado en venta en avenida de Ntra. Sra. de la Pietat
87,109,85,3,2,NO,SI,Buen estado,NA,NO,2006,SI,3,SI,SI,NO,Igualada,Llevant,g,162000,162000,Dúplex en venta en calle de Salvador Murt
88,68,53,2,1,NO,NO,Buen estado,norte,SI,2008,SI,1,SI,NO,NO,Igualada,Igualada,e,110900,110900,Piso en venta en Centre
89,75,74,3,2,NO,SI,Buen estado,NA,NO,1968,NO,1,SI,NO,NO,Igualada,Igualada,g,110000,110000,Piso en venta en Llevant
90,75,74,3,2,NO,SI,Buen estado,NA,NO,1968,NO,1,SI,NO,NO,Igualada,Igualada,g,110000,110000,Piso en venta en Llevant
91,127,126,3,1,SI,SI,Buen estado,NA,NO,1974,NO,4,NO,NO,NO,Igualada,Igualada,g,114000,114000,Ático en venta en Ponent
92,56,44,-1,1,NO,NO,Buen estado,NA,NO,2007,NO,1,SI,NO,NO,Igualada,Igualada,d,105000,105000,Piso en venta en Pla de Sant Magi
93,279,218,5,3,NO,NO,Buen estado,sur,NO,2020,NO,-1,NO,NO,NO,Igualada,Igualada,NO,540500,540500,Casa o chalet independiente en venta en Pla de Sant Magi
94,303,263,3,4,SI,SI,Buen estado,NA,NO,1900,SI,-1,NO,SI,NO,Igualada,Igualada,e,249000,249000,Chalet adosado en venta en Centre
95,350,250,4,4,SI,NO,Buen estado,"norte,",SI,2000,NO,-1,NO,NO,NO,Igualada,Igualada,e,850000,850000,Finca rústica en venta en Sesoliveres la Massa
96,80,80,2,1,SI,NO,Buen estado,NA,NO,2008,NO,3,NO,NO,NO,Igualada,Llevant,e,99000,99000,Piso en venta en calle de Badalona
97,127,87,3,1,SI,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,g,99000,114000,Piso en venta en Ponent
98,120,110,3,2,SI,SI,Buen estado,NA,NO,2012,SI,-1,SI,NO,NO,Igualada,Llevant,d,190000,190000,Dúplex en venta en calle del Bisbe Robuster
99,108,80,3,2,NO,SI,Buen estado,sur,NO,1990,NO,1,NO,NO,NO,Igualada,Ponent,f,130000,130000,Piso en venta en Prats de Rei
100,152,145,4,1,SI,NO,Buen estado,oeste,NO,1958,SI,-1,NO,NO,NO,Igualada,Ponent,g,160000,160000,Chalet adosado en venta en NUESTRA SEÑORA DE AFRICA
101,71,71,3,2,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Llevant,NO,115100,115100,Piso en venta en calle de Gaspar Camps
102,110,95,3,2,SI,SI,Buen estado,"este,",SI,-2022,SI,1,SI,NO,NO,Igualada,Igualada,a,230000,230000,Piso en venta en Pla de Sant Magi
103,114,114,4,2,SI,NO,Por reformar,norte,NO,1970,NO,-1,SI,NO,NO,Igualada,Centre,NO,79500,79500,Piso en venta en plaza de la Independència
104,88,88,3,1,SI,NO,Buen estado,NA,NO,-2022,NO,1,NO,NO,NO,Igualada,Igualada,NO,120000,120000,Piso en venta en Ponent
105,102,81,3,2,SI,NO,Buen estado,sur,NO,2022,SI,2,SI,NO,Zonas verdes,Igualada,Igualada,NO,235000,235000,Piso en venta en Ponent
106,395,390,3,3,SI,SI,Buen estado,NA,SI,1987,SI,-1,NO,SI,Jardín,Igualada,Igualada,NO,457000,457000,Chalet adosado en venta en Ponent
107,85,79,3,1,NO,SI,Buen estado,NA,NO,1982,NO,3,SI,NO,NO,Igualada,Igualada,e,135500,135500,Piso en venta en Pla de Sant Magi
108,95,77,3,1,SI,SI,Buen estado,NA,NO,1997,SI,1,SI,SI,NO,Igualada,Igualada,f,160000,160000,Piso en venta en Pla de Sant Magi
109,66,56,2,1,SI,NO,Buen estado,NA,NO,1995,NO,1,NO,NO,NO,Igualada,Igualada,e,100000,100000,Piso en venta en Llevant
110,75,67,4,1,SI,NO,Buen estado,sur,NO,1969,SI,8,SI,NO,NO,Igualada,Igualada,g,124500,124500,Piso en venta en Pla de Sant Magi
111,315,180,7,4,SI,SI,Buen estado,"este,",SI,1951,SI,-1,NO,SI,NO,Igualada,Igualada,g,340000,340000,Casa o chalet independiente en venta en Centre
112,118,90,3,2,SI,NO,Buen estado,"este,",NO,2022,SI,1,SI,NO,Zonas verdes,Igualada,Igualada,NO,255000,255000,Piso en venta en Ponent
113,141,111,4,2,NO,NO,Buen estado,NA,NO,1970,SI,1,SI,SI,NO,Igualada,Igualada,g,150000,150000,Piso en venta en Pla de Sant Magi
114,120,84,3,2,SI,NO,Buen estado,sur,SI,-2022,SI,1,SI,NO,Zonas verdes,Igualada,Igualada,NO,260000,260000,Piso en venta en Ponent
115,228,200,4,2,NO,NO,Buen estado,NA,NO,1995,NO,-1,NO,NO,NO,Igualada,Igualada,e,299000,299000,Chalet adosado en venta en Les Comes
116,109,82,4,2,SI,NO,Buen estado,norte,NO,2006,SI,3,SI,SI,NO,Igualada,Igualada,NO,162000,162000,Dúplex en venta en Llevant
117,277,84,3,2,NO,NO,Buen estado,NA,NO,1940,NO,-1,NO,NO,NO,Igualada,Igualada,f,250000,250000,Casa o chalet independiente en venta en Llevant
118,371,292,4,4,NO,NO,Buen estado,NA,NO,1991,NO,-1,NO,NO,NO,Igualada,Igualada,f,525000,525000,Casa o chalet independiente en venta en Sesoliveres la Massa
119,280,100,3,2,SI,SI,Buen estado,sur,SI,-2022,SI,-1,NO,SI,NO,Igualada,Igualada,f,230000,230000,Casa o chalet independiente en venta en Ponent
120,117,91,4,1,NO,SI,Buen estado,NA,NO,1900,NO,3,NO,NO,NO,Igualada,Centre,e,116000,116000,Piso en venta en calle Santa Maria
121,75,75,2,1,NO,SI,Buen estado,NA,NO,2020,NO,2,SI,NO,NO,Igualada,Centre,c,118000,118000,"Piso en venta en calle del Pare Tous Soler, 20"
122,101,81,4,2,NO,SI,Buen estado,NA,NO,1976,SI,2,SI,NO,NO,Igualada,Ponent,e,127000,127000,Piso en venta en calle Sant Martí de Sesgueioles
123,47,33,-1,1,SI,NO,Buen estado,este,NO,2007,SI,1,SI,NO,NO,Igualada,Pla de Sant Magi,e,94000,94000,Piso en venta en Joan Baptista
124,110,87,3,2,SI,NO,Buen estado,este,NO,1977,NO,5,SI,NO,NO,Igualada,Pla de Sant Magi,e,121000,121000,Piso en venta en calle de Lleida
125,104,104,3,2,SI,SI,Por reformar,NA,NO,-2022,NO,2,NO,NO,NO,Igualada,Centre,g,151000,151000,Dúplex en venta en calle de la Caritat
126,91,85,3,1,NO,NO,Buen estado,NA,NO,1973,SI,3,NO,NO,NO,Igualada,Centre,f,85000,85000,Piso en venta en callejón Sant Nicolau
127,96,76,3,2,SI,SI,Buen estado,norte,NO,1996,SI,3,SI,NO,NO,Igualada,Igualada,f,140000,140000,Piso en venta en Ponent
128,116,98,3,2,NO,NO,Buen estado,NA,NO,-2022,NO,3,SI,NO,NO,Igualada,Centre,NO,190000,190000,Dúplex en venta en plaza de l'Ajuntament
129,42,36,-1,1,NO,NO,Buen estado,NA,NO,-2022,NO,1,SI,NO,NO,Igualada,Centre,NO,62000,62000,Piso en venta en plaza de l'Ajuntament
130,85,75,3,2,NO,SI,Buen estado,sur,SI,-2022,NO,1,NO,NO,NO,Igualada,Pla de Sant Magi,e,130000,130000,"Piso en venta en calle de Santa Teresa, 10 SN"
131,52,52,2,1,NO,NO,Buen estado,norte,NO,-2022,NO,2,NO,NO,NO,Igualada,Llevant,f,43000,43000,Piso en venta en plaza d'Alcàntara
132,66,55,2,1,SI,SI,Buen estado,"norte,",NO,1978,SI,1,NO,NO,NO,Igualada,Igualada,e,130000,130000,Piso en venta en Ponent
133,106,92,4,2,SI,NO,Buen estado,sur,NO,-2022,SI,3,SI,NO,NO,Igualada,Igualada,a,265000,265000,Dúplex en venta en Pla de Sant Magi
134,151,132,4,3,SI,NO,Buen estado,sur,NO,-2022,SI,3,SI,NO,NO,Igualada,Igualada,a,328000,328000,Dúplex en venta en Pla de Sant Magi
135,152,130,4,3,SI,NO,Buen estado,sur,NO,-2022,SI,3,SI,NO,NO,Igualada,Igualada,a,325000,325000,Dúplex en venta en Pla de Sant Magi
136,151,129,4,3,SI,NO,Buen estado,sur,NO,-2022,SI,3,SI,NO,NO,Igualada,Igualada,a,325000,325000,Dúplex en venta en Pla de Sant Magi
137,100,89,3,2,SI,NO,Buen estado,sur,NO,-2022,SI,2,SI,NO,NO,Igualada,Igualada,a,251000,251000,Piso en venta en Pla de Sant Magi
138,101,88,3,2,SI,NO,Buen estado,NA,NO,-2022,SI,2,SI,NO,NO,Igualada,Igualada,a,249000,249000,Piso en venta en Pla de Sant Magi
139,101,87,3,2,SI,NO,Buen estado,sur,NO,-2022,SI,2,SI,NO,NO,Igualada,Igualada,a,249000,249000,Piso en venta en Pla de Sant Magi
140,100,80,3,2,SI,NO,Buen estado,sur,NO,-2022,SI,1,SI,NO,NO,Igualada,Igualada,a,262000,262000,Piso en venta en Pla de Sant Magi
141,74,66,2,1,SI,NO,Buen estado,sur,NO,-2022,SI,1,SI,NO,NO,Igualada,Igualada,a,180000,180000,Piso en venta en Pla de Sant Magi
142,100,89,3,2,SI,NO,Buen estado,sur,NO,-2022,SI,1,SI,NO,NO,Igualada,Igualada,a,259000,259000,Piso en venta en Pla de Sant Magi
143,101,87,3,2,SI,NO,Buen estado,sur,SI,-2022,SI,1,SI,NO,NO,Igualada,Igualada,a,256000,256000,Piso en venta en Pla de Sant Magi
144,122,100,2,2,NO,SI,Buen estado,NA,NO,1999,SI,2,NO,SI,NO,Igualada,Centre,NO,170000,205000,Piso en venta en calle García Fossas
145,385,339,4,4,SI,NO,Buen estado,"sur,",SI,1960,SI,-1,NO,NO,NO,Igualada,Igualada,e,265000,265000,Casa o chalet independiente en venta en Llevant
146,335,285,3,2,NO,NO,Buen estado,NA,NO,1998,NO,-1,NO,NO,NO,Igualada,Igualada,NO,475000,475000,Casa o chalet independiente en venta en Sesoliveres la Massa
147,128,105,4,2,SI,SI,Buen estado,"sur,",NO,2004,SI,1,SI,NO,NO,Igualada,Igualada,e,195000,195000,Piso en venta en Ponent
148,106,93,-1,2,SI,SI,Buen estado,norte,NO,1930,SI,1,NO,SI,NO,Igualada,Igualada,NO,155000,155000,Piso en venta en Centre
149,147,135,3,2,SI,NO,Buen estado,"sur,",NO,1985,SI,1,NO,NO,NO,Igualada,Igualada,f,160000,180000,Piso en venta en Llevant
150,76,70,3,1,NO,SI,Por reformar,NA,NO,1967,NO,5,NO,NO,NO,Igualada,Llevant,f,59612,59612,Piso en venta en calle de Sant Carles
151,436,1,5,3,NO,NO,Buen estado,NA,NO,1989,NO,-1,NO,NO,NO,Igualada,Igualada,e,649000,649000,Casa o chalet independiente en venta en Pla de Sant Magi
152,112,105,4,2,SI,SI,Buen estado,este,SI,2006,SI,4,SI,SI,NO,Igualada,Igualada,d,219000,219000,Dúplex en venta en Pla de Sant Magi
153,242,200,3,2,SI,NO,Buen estado,sur,SI,-2022,NO,1,NO,NO,NO,Igualada,Igualada,f,230000,230000,Piso en venta en Centre
154,91,79,3,2,SI,NO,Buen estado,este,SI,2007,SI,1,SI,SI,Zonas verdes,Igualada,Igualada,e,275000,275000,Piso en venta en Pla de Sant Magi
155,379,379,3,2,SI,SI,Buen estado,"este,",NO,-2022,NO,-1,NO,SI,NO,Igualada,Igualada,e,279000,279000,Casa o chalet en venta en Ponent
156,127,87,3,1,NO,NO,Buen estado,NA,NO,1974,NO,-1,NO,NO,NO,Igualada,Ponent,e,114000,114000,Ático en venta en calle del Pare Salvador Font
157,108,87,3,2,NO,SI,Buen estado,NA,NO,1970,NO,4,SI,NO,NO,Igualada,Centre,d,118500,118500,Piso en venta en rambla de Sant Isidre
158,107,93,3,3,SI,NO,Buen estado,este,NO,2007,SI,1,NO,NO,Zonas verdes,Igualada,Ponent,e,156000,156000,"Dúplex en venta en avenida del Mestre Montaner, 9"
159,40,40,-1,1,NO,NO,Buen estado,norte,NO,-2022,SI,1,NO,SI,NO,Igualada,Centre,g,95000,95000,"Piso en venta en Alba, 14"
160,91,90,4,2,SI,SI,Buen estado,sur,SI,-2022,NO,-1,NO,SI,Jardín,Igualada,Igualada,NO,235000,235000,Chalet adosado en venta en Les Comes
161,75,65,3,2,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Pla de Sant Magi,NO,82000,82000,Piso en venta en Passatge de la Tossa
162,72,50,3,1,NO,NO,Buen estado,norte,NO,-2022,NO,3,NO,NO,NO,Igualada,Centre,e,76100,76100,Piso en venta en callejón Sant Miquel
163,91,73,3,1,NO,NO,Buen estado,NA,NO,-2022,NO,3,NO,NO,NO,Igualada,Centre,NO,85000,85000,Piso en venta en callejón Sant Nicolau
164,110,104,3,1,SI,NO,Buen estado,NA,NO,-2022,SI,3,NO,SI,NO,Igualada,Llevant,e,115000,115000,Dúplex en venta en calle Molí de l'Abadia
165,115,115,4,2,SI,SI,Buen estado,NA,NO,-2022,NO,1,SI,NO,NO,Igualada,Pla de Sant Magi,NO,160000,160000,"Piso en venta en avenida de Barcelona, 157"
166,88,88,3,1,NO,NO,Buen estado,NA,NO,1968,SI,-1,NO,NO,NO,Igualada,Llevant,NO,71600,71600,Piso en venta en calle de Josep Galtés
167,113,110,2,1,SI,SI,Buen estado,"sur,",NO,2005,NO,2,SI,NO,NO,Igualada,Igualada,e,181000,181000,Dúplex en venta en Pla de Sant Magi
168,86,78,3,2,NO,SI,Buen estado,este,NO,1990,NO,1,NO,NO,NO,Igualada,Igualada,f,130000,130000,Piso en venta en Ponent
169,75,75,4,1,NO,NO,Buen estado,NA,SI,1974,SI,3,NO,SI,NO,Igualada,Igualada,NO,127000,127000,Piso en venta en Ponent
170,53,1,3,1,NO,NO,Por reformar,sur,NO,1956,NO,2,NO,NO,NO,Igualada,Igualada,f,43000,43000,Piso en venta en Llevant
171,90,76,3,1,NO,NO,Buen estado,"este,",NO,1976,SI,1,NO,NO,NO,Igualada,Igualada,f,120000,120000,Piso en venta en Ponent
172,345,345,5,1,NO,NO,Buen estado,NA,NO,1912,SI,-1,NO,NO,NO,Igualada,Centre,NO,72600,72600,Casa o chalet en venta en calle del Roser
173,371,300,4,3,SI,SI,Buen estado,NA,SI,1991,SI,-1,NO,SI,Jardín,Igualada,Igualada,f,525000,525000,Casa o chalet independiente en venta en Sesoliveres la Massa
174,57,42,2,1,SI,NO,Buen estado,norte,NO,1964,NO,1,NO,NO,NO,Igualada,Igualada,g,78500,80000,Piso en venta en Centre
175,92,87,4,1,NO,SI,Buen estado,norte,SI,-2022,SI,1,SI,NO,NO,Igualada,Pla de Sant Magi,NO,125000,125000,Piso en venta en calle de Tarragona
176,63,63,-1,1,NO,NO,Buen estado,NA,NO,-2022,NO,-1,NO,NO,NO,Igualada,Igualada,e,94000,94000,Piso en venta en Pla de Sant Magi
177,116,100,4,2,NO,SI,Buen estado,oeste,SI,2004,SI,2,SI,SI,NO,Igualada,Ponent,NO,220000,220000,Piso en venta en calle de la Pobla de Claramunt
178,75,58,2,1,SI,SI,Buen estado,"este,",NO,1922,SI,2,SI,NO,NO,Igualada,Igualada,c,118000,118000,Piso en venta en Centre
179,227,156,5,3,SI,SI,Buen estado,sur,SI,2006,SI,2,SI,SI,NO,Igualada,Igualada,e,290000,290000,Dúplex en venta en Pla de Sant Magi
180,227,156,5,3,SI,SI,Buen estado,sur,SI,2006,SI,2,SI,SI,NO,Igualada,Igualada,e,290000,290000,Dúplex en venta en Pla de Sant Magi
181,113,113,2,1,NO,NO,Buen estado,norte,NO,2005,NO,2,SI,NO,NO,Igualada,Pla de Sant Magi,NO,181000,181000,Piso en venta en calle de Trobadiners
182,76,67,2,1,NO,NO,Buen estado,NA,NO,-2022,NO,5,NO,NO,NO,Igualada,Llevant,NO,59612,59612,Piso en venta en calle de Sant Carles
183,117,91,4,1,NO,NO,Buen estado,norte,NO,1900,NO,3,NO,NO,NO,Igualada,Centre,e,116000,116000,Piso en venta en calle Santa Maria
184,107,99,3,3,SI,SI,Buen estado,norte,NO,2007,SI,1,SI,SI,Zonas verdes,Igualada,Ponent,d,156000,156000,Dúplex en venta en avenida del Mestre Montaner
185,450,333,4,2,SI,NO,Buen estado,NA,SI,-2022,SI,-1,NO,SI,Jardín,Igualada,Igualada,NO,475000,475000,Casa o chalet independiente en venta en Sesoliveres la Massa
186,76,67,3,1,NO,SI,Por reformar,NA,NO,1967,NO,5,NO,NO,NO,Igualada,Igualada,g,59612,59612,Piso en venta en Llevant
187,71,52,2,1,NO,NO,Buen estado,NA,SI,2010,NO,1,SI,NO,NO,Igualada,Igualada,d,111300,111300,Piso en venta en Centre
188,60,54,-1,1,NO,SI,Buen estado,NA,NO,1997,NO,1,NO,NO,NO,Igualada,Igualada,g,90000,90000,Piso en venta en Centre
189,104,84,3,1,NO,NO,Buen estado,NA,NO,2008,SI,3,SI,SI,NO,Igualada,Igualada,e,115000,115000,Dúplex en venta en Llevant
190,110,88,4,2,NO,SI,Buen estado,NA,NO,1977,NO,5,SI,NO,NO,Igualada,Igualada,e,121000,121000,Piso en venta en Pla de Sant Magi
191,112,1,3,2,NO,SI,Por reformar,NA,NO,1900,NO,2,NO,NO,NO,Igualada,Igualada,e,120000,120000,Piso en venta en Centre
